name,artist,rank,weeks
Treacherous (Taylor's Version),Taylor Swift,54,1
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,55,1
No Love,Summer Walker,56,2
Wild Side,Normani,57,18
Have Mercy,Chloe,58,10
I Almost Do (Taylor's Version),Taylor Swift,59,1
Chosen,Blxst,60,8
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,61,1
Family Ties,Baby Keem,62,12
Everything Has Changed (Taylor's Version),Taylor Swift,63,1
Sand In My Boots,Morgan Wallen,64,18
Gyalis,Capella Grey,65,16
The Last Time (Taylor's Version),Taylor Swift,66,1
Stay Stay Stay (Taylor's Version),Taylor Swift,67,1
After Last Night,Silk Sonic,68,1
Babe (Taylor's Version) (From The Vault),Taylor Swift,69,1
Sharing Locations,Meek Mill,70,12
Escape Plan,Travis Scott,71,2
One Mississippi,Kane Brown,72,8
Blast Off,Silk Sonic,73,1
Knowing You,Kenny Chesney,74,14
Skate,Silk Sonic,75,9
Holy Ground (Taylor's Version),Taylor Swift,76,1
Begin Again (Taylor's Version),Taylor Swift,77,1
Put On A Smile,Silk Sonic,78,1
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,79,1
Whiskey And Rain,Michael Ray,80,7
Fly As Me,Silk Sonic,81,1
Super Gremlin,Kodak Black,82,2
The Moment I Knew (Taylor's Version),Taylor Swift,83,1
The Lucky One (Taylor's Version),Taylor Swift,84,1
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,85,1
Fair Trade,Drake,86,11
Come Back...Be Here (Taylor's Version),Taylor Swift,87,1
Sad Girlz Luv Money,Amaarae,88,2
Tequila Little Time,Jon Pardi,89,6
Starlight (Taylor's Version),Taylor Swift,90,1
Bubbly,Young Thug With Drake,91,5
Ex For A Reason,Summer Walker,92,3
Freedom Was A Highway,Jimmie Allen,93,6
La Fama,Rosalia,94,1
Big Energy,Latto,95,4
Moth To A Flame,Swedish House Mafia,96,4
'Til You Can't,Cody Johnson,97,6
Woman,Doja Cat,98,16
Take My Breath,The Weeknd,99,15
For Tonight,Giveon,100,7
Easy On Me,Adele,1,5
Stay,The Kid LAROI,2,18
Industry Baby,Lil Nas X,3,16
Bad Habits,Ed Sheeran,4,20
Shivers,Ed Sheeran,5,9
One Right Now,Post Malone,6,1
Fancy Like,Walker Hayes,7,21
Smokin Out The Window,Silk Sonic,8,1
Need To Know,Doja Cat,9,22
Heat Waves,Glass Animals,10,43
Escape Plan,Travis Scott,11,1
Way 2 Sexy,Drake,12,10
No Love,Summer Walker,13,1
Cold Heart (PNAU Remix),Elton John,14,10
Good 4 U,Olivia Rodrigo,15,26
Essence,Wizkid,16,19
Beggin',Maneskin,17,20
Levitating,Dua Lipa,18,58
You Right,Doja Cat,19,20
Kiss Me More,Doja Cat,20,31
If I Didn't Love You,Jason Aldean,21,16
Save Your Tears,The Weeknd,22,48
Knife Talk,Drake,23,10
Chasing After You,Ryan Hurd With Maren Morris,24,28
Bitter,Summer Walker,25,1
Mafia,Travis Scott,26,1
Meet Me At Our Spot,THE ANXIETY: WILLOW,27,9
Girls Want Girls,Drake,28,10
Better Days,NEIKED X Mae Muller X Polo G,29,4
Buy Dirt,Jordan Davis,30,14
Happier Than Ever,Billie Eilish,31,15
Love Nwantiti (Ah Ah Ah),CKay,32,8
Ex For A Reason,Summer Walker,33,2
Traitor,Olivia Rodrigo,34,25
Who Want Smoke??,Nardo Wick,35,5
Ghost,Justin Bieber,36,7
Pepas,Farruko,37,16
Thats What I Want,Lil Nas X,38,8
Cold As You,Luke Combs,39,15
Thinking 'Bout You,Dustin Lynch,40,13
Throw It Away,Summer Walker,41,1
Montero (Call Me By Your Name),Lil Nas X,42,33
My Universe,Coldplay x BTS,43,7
Reciprocate,Summer Walker,44,1
Toxic,Summer Walker,45,1
Leave The Door Open,Silk Sonic,46,36
You Should Probably Leave,Chris Stapleton,47,19
Unloyal,Summer Walker,48,1
Constant Bulls**t,Summer Walker,49,1
You Don't Know Me,Summer Walker,50,1
Same Boat,Zac Brown Band,51,8
Insane,Summer Walker,52,1
Wild Side,Normani,53,17
Circus,Summer Walker,54,1
Have Mercy,Chloe,55,9
4th Baby Mama,Summer Walker,56,1
Family Ties,Baby Keem,57,11
Gyalis,Capella Grey,58,15
Switch A N*gga Out,Summer Walker,59,1
Closure,Summer Walker,60,1
Chosen,Blxst,61,7
Sharing Locations,Meek Mill,62,11
One Mississippi,Kane Brown,63,7
I Was On A Boat That Day,Old Dominion,64,19
Memory,Kane Brown X blackbear,65,18
Fair Trade,Drake,66,10
Knowing You,Kenny Chesney,67,13
Session 33,Summer Walker,68,1
Sand In My Boots,Morgan Wallen,69,17
